0|4|Obilazak Rima|Rome is often referred to as the City of Seven Hills due to its geographic location, and also as the "Eternal City". Rome is generally considered to be the cradle of Western civilization and Western Christian culture, and the centre of the Catholic Church.|Rim, Italija|Serbian|50|12
1|4|Obilazak Tokija|Tokyo is the administrative, cultural, financial, commercial, and educational centre of Japan and the focus of an extensive urban complex that includes Kawasaki and Yokohama. Attractions include the Imperial Palace, encircled by stone-walled moats and broad gardens, and numerous temples and shrines|Tokyo, Japan|Japanese|50|18
2|4|Obliazak Beograda!|Belgrade is the capital and largest city of Serbia. It is located at the confluence of the Sava and Danube rivers and at the crossroads of the Pannonian Plain and the Balkan Peninsula. The population of the Belgrade metropolitan area is 1,685,563 according to the 2022 census|Beograd, Srbija|Serbian|45|8
3|4|Explore Kyoto!|Kyoto, located in the Kansai region of Japan, is the country's seventh largest city, with a population of 1.4 million people. Steeped in history, Kyoto is home to roughly one quarter of Japan's national treasures, countless shrines and temples, and seventeen sites recognized by UNESCO as World Heritage Sites.|Kyoto, Japan|Italian|50|4
4|4|Bbbbb|bbbbbbbbbbbb|BBB, bbbb|srpski|25|2
5|4|Proba|lepo|Novi Sad, Srbija|srpski|40|2
6|4|Najnaj|vgbh|jn, jnx|keo|10|5
7|4|Obilazak Novog Sada|Novi Sad je najve?i grad Autonomne Pokrajine Vojvodine na severu Republike Srbije, kao i sedište pokrajinskih organa vlasti i administrativni centar Južnoba?kog okruga. Grad se nalazi na granici Ba?ke i Srema, na obalama Dunava i Malog ba?kog kanala, u Panonskoj ravnici i na severnim obroncima Fruške gore.|Novi Sad, Serbia|Serbian|150|2
8|4|SRBIJA|enjoy!|beocin, srbija|srpski|150|12
9|4|bcn|BEOCIN!!!!!!!!|bcn, srb|srpski|151|3
10|4|wdaaaaaaaa|wowww|Kragujevac, Srbija|srb|123|3
11|4|NS|ENJOY!|NS, SRB|srpski|321|3
12|4|daaaa|rrrrrrrrrrrrrrrrrrrrr|wwww, llllllll|srpski|32|12
13|4|rrrr|rr, tt|Kragujevac, Srbija|srb|6|11
14|4|jeeeeeeeeee|wwww|srb, ns|srb|60|6
15|4|gaaa|dawwda|wa, la|srpski|78|21
16|4|ga|ga|Novi Sad, Srbija|ga, ga|43|3
17|4|da|da|da, da|srpski|55|5
18|4|rrrrrrrrrrrrrr|tttttttttt|Novi Sad, Srbija|srpski|43|4
19|4|re|re|re, re|srpski|45|3
20|4|aaaaaaaaaaaa|djedj|a, aaaaa|engleski|5|2
21|4|bbbbbbbbbbbbbbbbb|ddd|bb, b|engleski|4|2
22|4|vvvvvvvvvvvvvv|dlc|v, vvv|engleski|58|1
23|4|ggggggggggggggggggg|dkokd|gg, ff|engleski|5|2
24|4|dddddddddddd|ckdmkc|d, dddddd|engleski|5|3
